FID,IID,POPULATION,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
PEL68,PEL68,PEL,0.0058,-0.0239,-0.02,0.1044,0.0071,0.0136,0.0013,0.0164,0.0333,-0.0005
PEL69,PEL69,PEL,0.0062,-0.0252,-0.0218,0.111,0.0104,0.0168,0.0027,0.0125,0.0287,-0.0006
PEL70,PEL70,PEL,-0.0039,-0.0121,-0.0126,0.0633,0.0014,0.0093,0.0058,0.0142,0.0097,0.0163
PEL71,PEL71,PEL,0.0063,-0.023,-0.0201,0.1025,0.0047,0.0156,0.003,0.0058,0.0252,0.0015
PEL72,PEL72,PEL,0.0073,-0.0137,-0.0143,0.0703,-0.0033,0.0077,0.0015,0.0044,0.0102,0.0111
PEL73,PEL73,PEL,0.0055,-0.0218,-0.0183,0.0963,0.0022,0.0115,0.0005,0.008,0.0101,-0.0135
ACB38,ACB38,ACB,-0.035,0.0053,-0.0018,-0.0008,0.0033,0.005,0.0064,0.0212,-0.0166,0.0015
ACB39,ACB39,ACB,-0.0273,0.0062,-0.0024,-0.0017,0.005,0.0027,0.0015,0.0199,0.0002,0.0021
ACB40,ACB40,ACB,-0.0273,0.0057,-0.0026,-0.0016,0.0016,0.0028,0.0037,0.0194,-0.0055,-0.0055
ACB41,ACB41,ACB,-0.0292,0.0058,-0.0028,-0.0024,0.0027,-0.0007,0.0006,0.0114,0.0035,0.0115
PEL74,PEL74,PEL,0.0062,-0.0175,-0.0175,0.0836,-0.0003,0.0087,-0.0001,0.01,0.0248,0.0059
PEL75,PEL75,PEL,0.0062,-0.0157,-0.0163,0.0793,0.0013,0.0046,-0.0012,0.0058,0.0212,0.0046
PEL76,PEL76,PEL,0.006,-0.024,-0.0202,0.1046,0.0038,0.0086,0.0005,0.0059,0.0282,-0.0019
PEL77,PEL77,PEL,0.0071,-0.0196,-0.0187,0.0933,0.0071,0.0083,0.0023,0.0133,0.0184,0.0023
PEL78,PEL78,PEL,0.0067,-0.0111,-0.0147,0.0636,-0.0012,0.0022,-0.0029,0.002,0.0189,0.0072
PEL79,PEL79,PEL,0.0066,-0.0199,-0.0193,0.0915,0.0033,0.0087,0.0008,0.0066,0.0215,0.0039
PEL80,PEL80,PEL,0.0063,-0.0179,-0.0173,0.088,0.0037,0.0053,0.0027,0.0037,0.0093,-0.0181
PEL81,PEL81,PEL,0.0039,-0.0177,-0.0164,0.0793,-0.0022,0.0076,0.003,0.0062,0.0151,0.0015
ACB42,ACB42,ACB,-0.0336,0.005,-0.0011,-0.0009,0.0013,0.0018,-0.0027,0.0185,-0.007,-0.0021
ACB43,ACB43,ACB,-0.0317,0.0057,-0.0019,-0.0015,0.0022,0.0041,0.0094,0.0212,-0.007,0.0114
ACB44,ACB44,ACB,-0.032,0.0056,-0.0018,-0.0004,0.0045,0.001,-0.0002,0.0165,-0.0092,0
PEL82,PEL82,PEL,0.0069,-0.0113,-0.0135,0.0637,-0.0014,0.0007,-0.0021,0.0045,0.0053,-0.0105
ACB45,ACB45,ACB,-0.0333,0.0057,-0.0022,-0.0018,0.0009,0.0012,0,0.0213,-0.0089,0.0002
ACB46,ACB46,ACB,-0.0307,0.0059,-0.0014,-0.0003,0.0015,0.0034,0.0026,0.0209,-0.0069,0.009
ACB47,ACB47,ACB,-0.0344,0.0051,-0.0033,-0.0017,0.0016,0.0041,0.004,0.0236,-0.0035,0.0079
ACB48,ACB48,ACB,-0.0344,0.0048,-0.0013,-0.0023,0.0022,0.0031,0.0097,0.021,-0.0074,0.005
ACB49,ACB49,ACB,-0.0309,0.0058,-0.002,-0.0015,0.0031,0.0037,0.0062,0.0186,-0.0137,-0.0015
ACB50,ACB50,ACB,-0.0336,0.0056,-0.0026,-0.0019,0.0068,0.0021,0.004,0.0194,-0.0095,-0.0114
ACB51,ACB51,ACB,-0.0353,0.0044,-0.0014,-0.001,0.0019,0.0029,0.0022,0.0186,-0.0029,0.0079
ACB52,ACB52,ACB,-0.0316,0.0055,-0.0018,-0.001,0.0061,-0.0003,0.0035,0.0189,-0.0003,0.0006
ACB53,ACB53,ACB,-0.0324,0.0057,-0.0023,-0.0016,0.0041,0.0007,-0.0017,0.0168,-0.0111,0.0024
ACB54,ACB54,ACB,-0.0251,0.0062,-0.0028,-0.0021,0.0063,0.0035,0.0026,0.0172,-0.0027,0.0146
ACB55,ACB55,ACB,-0.0316,0.0056,-0.0023,-0.0012,0.0024,0.0013,0.0064,0.0216,-0.0055,0.0039
ACB56,ACB56,ACB,-0.0355,0.0053,-0.0026,0.0001,0.0013,0.0026,0.002,0.0261,-0.0123,0.0007
ACB57,ACB57,ACB,-0.0265,0.0065,-0.0025,-0.0012,0.0049,0.0021,0.0036,0.0167,-0.0064,0.0011
PEL83,PEL83,PEL,0.004,-0.0104,-0.0113,0.0429,-0.0035,0.009,0.0052,0.0081,-0.0059,-0.0216
PEL84,PEL84,PEL,0.0061,-0.0193,-0.017,0.0902,0.003,0.0133,0.0049,0.0033,0.0169,0.0057
CDX59,CDX59,CDX,0.0029,-0.0364,-0.0109,-0.017,-0.0115,0.0496,0.0001,-0.0048,-0.0088,0.001
CDX60,CDX60,CDX,0.0028,-0.037,-0.0116,-0.0169,-0.0182,0.0509,-0.0011,-0.0008,0.0009,0.0025
CDX61,CDX61,CDX,0.003,-0.0368,-0.0114,-0.0176,-0.0135,0.047,0.0013,-0.0045,-0.0077,0.0018
CDX62,CDX62,CDX,0.0029,-0.0373,-0.0121,-0.018,-0.0178,0.0537,-0.0008,-0.0003,-0.0068,-0.0041
CDX63,CDX63,CDX,0.0029,-0.0368,-0.0113,-0.0168,-0.0161,0.0436,-0.0016,0.0011,-0.0029,0.0008
CDX64,CDX64,CDX,0.0024,-0.0369,-0.0112,-0.0162,-0.0167,0.0526,-0.0024,-0.0003,-0.0072,-0.0056
CDX65,CDX65,CDX,0.003,-0.0367,-0.0118,-0.017,-0.016,0.0493,0.0011,-0.0042,-0.0017,-0.0012
CDX66,CDX66,CDX,0.0031,-0.0372,-0.0125,-0.0184,-0.0204,0.0518,-0.0009,-0.0037,-0.0059,-0.0104
CDX67,CDX67,CDX,0.0027,-0.0371,-0.0116,-0.0169,-0.0171,0.0487,0.0008,0.0018,-0.0038,0.0015
CDX68,CDX68,CDX,0.0033,-0.0367,-0.0116,-0.0173,-0.0159,0.0455,-0.0022,-0.0012,-0.0026,0.0056
CDX69,CDX69,CDX,0.0029,-0.0372,-0.0112,-0.0177,-0.0166,0.0548,-0.0038,-0.0012,-0.0004,-0.0112
CDX70,CDX70,CDX,0.003,-0.0366,-0.011,-0.0159,-0.0165,0.0522,-0.001,-0.0003,-0.0055,0.0026
CDX71,CDX71,CDX,0.0029,-0.0373,-0.0133,-0.0171,-0.0168,0.0517,-0.0015,-0.0016,-0.0081,-0.0025
CDX72,CDX72,CDX,0.0029,-0.0369,-0.012,-0.0181,-0.0175,0.0467,-0.0025,-0.0008,-0.01,-0.0096
CDX73,CDX73,CDX,0.0029,-0.037,-0.0098,-0.0158,-0.0182,0.0523,-0.0009,0.0003,0.0004,-0.0067
CDX74,CDX74,CDX,0.003,-0.0371,-0.012,-0.0184,-0.0133,0.0508,-0.0014,-0.0016,-0.0061,-0.0018
CDX75,CDX75,CDX,0.0025,-0.037,-0.013,-0.0175,-0.0192,0.0515,-0.0042,0.0004,0.0003,-0.0029
CDX76,CDX76,CDX,0.0032,-0.0364,-0.0109,-0.0158,-0.0138,0.0409,0.0026,-0.0034,-0.0071,-0.002
CDX77,CDX77,CDX,0.0031,-0.0377,-0.0107,-0.017,-0.0196,0.0477,-0.0041,-0.0054,-0.0024,-0.0111
CDX78,CDX78,CDX,0.003,-0.0367,-0.011,-0.0172,-0.0165,0.0509,0.0004,-0.0028,-0.0014,0.002
CDX79,CDX79,CDX,0.0032,-0.0371,-0.0123,-0.0168,-0.0159,0.0512,0.0016,0.0015,0.004,0.0025
CDX80,CDX80,CDX,0.0032,-0.0376,-0.0117,-0.017,-0.0145,0.0481,-0.0011,-0.0009,-0.0069,-0.0031
CDX81,CDX81,CDX,0.0028,-0.0361,-0.0113,-0.0166,-0.0206,0.0477,-0.0007,-0.0036,-0.0085,0.0009
CDX82,CDX82,CDX,0.003,-0.0368,-0.0117,-0.0164,-0.0182,0.0487,-0.0044,-0.0021,0.0002,0.0039
CDX83,CDX83,CDX,0.0032,-0.0374,-0.0116,-0.0172,-0.0158,0.0497,-0.0006,0.0001,-0.0014,0.0043
CDX84,CDX84,CDX,0.0032,-0.0367,-0.0109,-0.0172,-0.0175,0.043,-0.0027,0.0036,-0.005,0.0031
CDX85,CDX85,CDX,0.0033,-0.0368,-0.0109,-0.0163,-0.0168,0.0468,-0.0033,0.0043,-0.0039,0.0056
CDX86,CDX86,CDX,0.0028,-0.037,-0.0111,-0.0175,-0.02,0.0493,-0.0039,-0.0027,-0.0043,-0.0022
CDX87,CDX87,CDX,0.0028,-0.0368,-0.012,-0.0157,-0.018,0.0453,-0.0029,0.0032,-0.0017,-0.0029
CDX88,CDX88,CDX,0.0029,-0.0368,-0.0124,-0.0176,-0.0158,0.0525,-0.0007,-0.0044,-0.0017,0.0054
CDX89,CDX89,CDX,0.0033,-0.037,-0.0128,-0.0191,-0.0154,0.0462,-0.0005,0.0032,-0.001,-0.0002
CDX90,CDX90,CDX,0.0027,-0.0371,-0.0111,-0.0171,-0.0155,0.0497,0.0002,-0.0044,-0.0063,-0.0065
CDX91,CDX91,CDX,0.0031,-0.0368,-0.0115,-0.0165,-0.0192,0.0571,-0.0002,-0.0037,-0.0026,0.0055
CDX92,CDX92,CDX,0.0034,-0.0367,-0.0119,-0.0173,-0.0143,0.0512,-0.0025,-0.0036,-0.0026,0.0001
CDX93,CDX93,CDX,0.0031,-0.0368,-0.0123,-0.0166,-0.0144,0.049,-0.0014,0.0006,-0.0037,0.0031
ACB58,ACB58,ACB,-0.0336,0.0048,-0.0016,-0.0012,-0.0004,0.003,0.0045,0.0216,-0.0137,0.004
ACB59,ACB59,ACB,-0.0169,0.0077,-0.004,-0.0036,0.0018,-0.0007,-0.0001,0.0075,0.0073,0.0059
PEL85,PEL85,PEL,0.0048,-0.0097,-0.0127,0.0587,-0.0019,0.004,0.0012,0.0064,-0.0074,-0.0081
ACB60,ACB60,ACB,-0.0328,0.0056,-0.0024,-0.0017,0.0031,-0.0006,0.0002,0.0235,0.0052,0.0121
ACB61,ACB61,ACB,-0.0326,0.0058,-0.002,-0.0018,0.0016,-0.0017,0.0087,0.0253,-0.0041,0.0143
ACB62,ACB62,ACB,-0.0311,0.0048,-0.0014,-0.002,0.0035,0.0022,0.0036,0.0156,-0.0081,-0.0018
ACB63,ACB63,ACB,-0.0337,0.0049,-0.0021,-0.001,0.0029,0.0008,0.002,0.0185,-0.0128,-0.0002
ACB64,ACB64,ACB,-0.0359,0.0045,-0.0019,-0.0007,-0.0011,0.0003,0.0016,0.0233,-0.0075,0.004
ACB65,ACB65,ACB,-0.0288,0.0065,-0.0027,-0.0008,0.0006,0.0015,-0.0014,0.0136,-0.0069,-0.0096
ACB66,ACB66,ACB,-0.034,0.0051,-0.0025,-0.0016,0.0039,-0.0014,0.0049,0.0296,-0.0068,0.0031
ACB67,ACB67,ACB,-0.0332,0.0057,-0.0027,-0.0016,0.0017,0.0017,0.0034,0.0219,-0.0043,-0.0064
ACB68,ACB68,ACB,-0.0299,0.0056,-0.0017,-0.0009,0.0052,0.001,0.0056,0.0211,-0.0015,0.0025
GWD1,GWD1,GWD,-0.0358,0.0045,-0.0016,-0.0009,-0.0011,-0.0016,-0.0602,-0.035,0.0122,-0.015
GWD2,GWD2,GWD,-0.0347,0.0056,-0.002,-0.001,-0.0016,-0.0043,-0.0669,-0.042,0.0114,-0.0138
GWD3,GWD3,GWD,-0.0367,0.0052,-0.002,-0.0014,0.0016,0.0011,-0.0605,-0.031,0.0161,-0.0123
GWD4,GWD4,GWD,-0.0362,0.0051,-0.0008,-0.0013,-0.0017,-0.0044,-0.0616,-0.0311,0.0136,-0.0136
ACB69,ACB69,ACB,-0.0335,0.0055,-0.0011,-0.0012,0.0019,-0.0008,0.0025,0.0226,-0.0099,-0.0011
ACB70,ACB70,ACB,-0.0334,0.0053,-0.0025,-0.0008,0.0031,0.002,0.0035,0.019,-0.0103,-0.0023
ACB71,ACB71,ACB,-0.0294,0.0059,-0.0028,-0.0013,0.0039,0.0014,0.0014,0.0218,-0.0044,0.0044
ACB72,ACB72,ACB,-0.0304,0.0054,-0.0027,-0.001,0.0013,0.0018,-0.0023,0.0232,-0.0074,0.005
ACB73,ACB73,ACB,-0.0323,0.0054,-0.0027,-0.0018,0.0031,-0.0023,0.0052,0.0278,-0.0074,0.0115
ACB74,ACB74,ACB,-0.0326,0.0052,-0.0024,-0.0021,0.0057,0.002,-0.0006,0.0165,-0.0051,0.0091
ACB75,ACB75,ACB,-0.032,0.0056,-0.0014,-0.0023,0.0057,0.0014,0.0037,0.0159,-0.0121,-0.001
ACB76,ACB76,ACB,-0.0244,0.0066,-0.0023,-0.0019,0.0026,-0.0005,0.0066,0.0127,-0.0046,-0.0134
